,Series_reference,Data_value,Suppressed
123,BDCQ.SF1AA3CS,1266.784,
124,BDCQ.SF1AA3CS,1329.146,
125,BDCQ.SF1AA3CS,1441.463,
126,BDCQ.SF1AA3CS,1550.764,
127,BDCQ.SF1AA3CS,1514.258,
128,BDCQ.SF1AA3CS,1543.74,
129,BDCQ.SF1AA3CS,1520.037,
130,BDCQ.SF1AA3CS,1541.723,
131,BDCQ.SF1AA3CS,1640.076,
132,BDCQ.SF1AA3CS,1661.117,
133,BDCQ.SF1AA3CS,1647.026,
134,BDCQ.SF1AA3CS,1579.43,
135,BDCQ.SF1AA3CS,1567.01,
136,BDCQ.SF1AA3CS,1516.879,
137,BDCQ.SF1AA3CS,1789.084,
138,BDCQ.SF1AA3CS,1813.765,
139,BDCQ.SF1AA3CS,1803.821,
140,BDCQ.SF1AA3CS,1936.695,
141,BDCQ.SF1AA3CS,1982.547,
142,BDCQ.SF1AA3CS,2019.118,
143,BDCQ.SF1AA3CS,1986.382,
144,BDCQ.SF1AA3CS,1987.768,
145,BDCQ.SF1AA3CS,1941.884,
146,BDCQ.SF1AA3CS,1953.378,
147,BDCQ.SF1AA3CS,2072.815,
148,BDCQ.SF1AA3CS,2004.7,
149,BDCQ.SF1AA3CS,2036.986,
150,BDCQ.SF1AA3CT,1283.554,
151,BDCQ.SF1AA3CT,1264.88,
152,BDCQ.SF1AA3CT,1243.594,
153,BDCQ.SF1AA3CT,1257.209,
154,BDCQ.SF1AA3CT,1335.465,
155,BDCQ.SF1AA3CT,1448.058,
156,BDCQ.SF1AA3CT,1524.728,
157,BDCQ.SF1AA3CT,1538.56,
158,BDCQ.SF1AA3CT,1527.752,
159,BDCQ.SF1AA3CT,1524.978,
160,BDCQ.SF1AA3CT,1555.325,
161,BDCQ.SF1AA3CT,1625.673,
162,BDCQ.SF1AA3CT,1665.564,
163,BDCQ.SF1AA3CT,1637.697,
164,BDCQ.SF1AA3CT,1588.009,
165,BDCQ.SF1AA3CT,,
166,BDCQ.SF1AA3CT,,
167,BDCQ.SF1AA3CT,,
168,BDCQ.SF1AA3CT,,
169,BDCQ.SF1AA3CT,,
170,BDCQ.SF1AA3CT,,
171,BDCQ.SF1AA3CT,,
172,BDCQ.SF1AA3CT,,
173,BDCQ.SF1AA3CT,,
174,BDCQ.SF1AA3CT,,
175,BDCQ.SF1AA3CT,,
176,BDCQ.SF1AA3CT,,
177,BDCQ.SF1AA3CT,,
178,BDCQ.SF1AA3CT,,
179,BDCQ.SF1AA3CT,,
180,BDCQ.SF1AACA,2306.12,
181,BDCQ.SF1AACA,2215.81,
182,BDCQ.SF1AACA,2445.0,
183,BDCQ.SF1AACA,2321.58,
184,BDCQ.SF1AACA,2475.22,
185,BDCQ.SF1AACA,2571.09,
186,BDCQ.SF1AACA,3062.91,
187,BDCQ.SF1AACA,2966.24,
188,BDCQ.SF1AACA,2929.48,
189,BDCQ.SF1AACA,2862.45,
190,BDCQ.SF1AACA,3341.53,
191,BDCQ.SF1AACA,3059.59,
192,BDCQ.SF1AACA,3071.57,
193,BDCQ.SF1AACA,2865.95,
194,BDCQ.SF1AACA,3188.1,
195,BDCQ.SF1AACA,2655.93,
196,BDCQ.SF1AACA,2553.038,
197,BDCQ.SF1AACA,3054.853,
198,BDCQ.SF1AACA,3579.432,
199,BDCQ.SF1AACA,3208.221,
200,BDCQ.SF1AACA,3641.703,
201,BDCQ.SF1AACA,3501.878,
202,BDCQ.SF1AACA,3884.73,
203,BDCQ.SF1AACA,3286.846,
204,BDCQ.SF1AACA,3545.663,
205,BDCQ.SF1AACA,3421.264,
206,BDCQ.SF1AACA,3753.336,
207,BDCQ.SF1AACA,3295.388,
208,BDCQ.SF1AACA,3303.002,
209,BDCQ.SF1AACA,3255.277,
210,BDCQ.SF1AACS,2332.221,
211,BDCQ.SF1AACS,2348.493,
212,BDCQ.SF1AACS,2276.747,
213,BDCQ.SF1AACS,2339.188,
214,BDCQ.SF1AACS,2503.516,
215,BDCQ.SF1AACS,2715.927,
216,BDCQ.SF1AACS,2851.433,
217,BDCQ.SF1AACS,3002.467,
218,BDCQ.SF1AACS,2959.107,
219,BDCQ.SF1AACS,3013.096,
220,BDCQ.SF1AACS,3112.105,
221,BDCQ.SF1AACS,3108.323,
222,BDCQ.SF1AACS,3101.119,
223,BDCQ.SF1AACS,3007.284,
224,BDCQ.SF1AACS,2967.455,
225,BDCQ.SF1AACS,2708.465,
226,BDCQ.SF1AACS,2578.188,
227,BDCQ.SF1AACS,3195.627,
228,BDCQ.SF1AACS,3328.238,
229,BDCQ.SF1AACS,3284.304,
230,BDCQ.SF1AACS,3678.004,
231,BDCQ.SF1AACS,3653.195,
232,BDCQ.SF1AACS,3608.586,
233,BDCQ.SF1AACS,3375.935,
234,BDCQ.SF1AACS,3582.688,
235,BDCQ.SF1AACS,3559.337,
236,BDCQ.SF1AACS,3486.107,
237,BDCQ.SF1AACS,3389.888,
238,BDCQ.SF1AACS,3339.842,
239,BDCQ.SF1AACS,3381.765,
240,BDCQ.SF1AACT,2312.562,
241,BDCQ.SF1AACT,2335.73,
242,BDCQ.SF1AACT,2295.435,
243,BDCQ.SF1AACT,2340.767,
244,BDCQ.SF1AACT,2508.742,
245,BDCQ.SF1AACT,2701.321,
246,BDCQ.SF1AACT,2868.2,
247,BDCQ.SF1AACT,2955.281,
248,BDCQ.SF1AACT,2978.937,
249,BDCQ.SF1AACT,3021.465,
250,BDCQ.SF1AACT,3093.955,
251,BDCQ.SF1AACT,3121.729,
252,BDCQ.SF1AACT,3084.683,
253,BDCQ.SF1AACT,3014.621,
254,BDCQ.SF1AACT,2974.503,
255,BDCQ.SF1AACT,,
256,BDCQ.SF1AACT,,
257,BDCQ.SF1AACT,,
258,BDCQ.SF1AACT,,
259,BDCQ.SF1AACT,,
260,BDCQ.SF1AACT,,
261,BDCQ.SF1AACT,,
262,BDCQ.SF1AACT,,
263,BDCQ.SF1AACT,,
264,BDCQ.SF1AACT,,
265,BDCQ.SF1AACT,,
266,BDCQ.SF1AACT,,
267,BDCQ.SF1AACT,,
268,BDCQ.SF1AACT,,
269,BDCQ.SF1AACT,,
270,BDCQ.SF1BB1CA,1119.02,
271,BDCQ.SF1BB1CA,1101.412,
272,BDCQ.SF1BB1CA,1139.459,
273,BDCQ.SF1BB1CA,1040.5,
274,BDCQ.SF1BB1CA,1150.976,
275,BDCQ.SF1BB1CA,1084.658,
276,BDCQ.SF1BB1CA,1352.84,
277,BDCQ.SF1BB1CA,1224.534,
278,BDCQ.SF1BB1CA,1105.167,
279,BDCQ.SF1BB1CA,1372.723,
280,BDCQ.SF1BB1CA,1230.969,
281,BDCQ.SF1BB1CA,1115.478,
282,BDCQ.SF1BB1CA,1210.962,
283,BDCQ.SF1BB1CA,1234.819,
284,BDCQ.SF1BB1CA,1276.337,
285,BDCQ.SF1BB1CA,1080.713,
286,BDCQ.SF1BB1CA,847.349,
287,BDCQ.SF1BB1CA,925.547,
288,BDCQ.SF1BB1CA,1085.539,
289,BDCQ.SF1BB1CA,1063.775,
290,BDCQ.SF1BB1CA,1077.447,
291,BDCQ.SF1BB1CA,1151.861,
292,BDCQ.SF1BB1CA,1202.16,
293,BDCQ.SF1BB1CA,1244.801,
294,BDCQ.SF1BB1CA,1448.299,
295,BDCQ.SF1BB1CA,1411.447,
296,BDCQ.SF1BB1CA,1303.453,
297,BDCQ.SF1BB1CA,1293.599,
298,BDCQ.SF1BB1CA,1365.779,
299,BDCQ.SF1BB1CA,1251.664,
300,BDCQ.SF1BB1CS,1119.02,
301,BDCQ.SF1BB1CS,1101.412,
302,BDCQ.SF1BB1CS,1139.459,
303,BDCQ.SF1BB1CS,1040.5,
304,BDCQ.SF1BB1CS,1150.976,
305,BDCQ.SF1BB1CS,1084.658,
306,BDCQ.SF1BB1CS,1352.84,
307,BDCQ.SF1BB1CS,1224.534,
308,BDCQ.SF1BB1CS,1105.167,
309,BDCQ.SF1BB1CS,1372.723,
310,BDCQ.SF1BB1CS,1230.969,
311,BDCQ.SF1BB1CS,1115.478,
312,BDCQ.SF1BB1CS,1210.962,
313,BDCQ.SF1BB1CS,1234.819,
314,BDCQ.SF1BB1CS,1276.337,
315,BDCQ.SF1BB1CS,1080.713,
316,BDCQ.SF1BB1CS,847.349,
317,BDCQ.SF1BB1CS,925.547,
318,BDCQ.SF1BB1CS,1085.539,
319,BDCQ.SF1BB1CS,1063.775,
320,BDCQ.SF1BB1CS,1077.447,
321,BDCQ.SF1BB1CS,1151.861,
322,BDCQ.SF1BB1CS,1202.16,
323,BDCQ.SF1BB1CS,1244.801,
324,BDCQ.SF1BB1CS,1448.299,
325,BDCQ.SF1BB1CS,1411.447,
326,BDCQ.SF1BB1CS,1303.453,
327,BDCQ.SF1BB1CS,1293.599,
328,BDCQ.SF1BB1CS,1365.779,
329,BDCQ.SF1BB1CS,1251.664,
330,BDCQ.SF1BB1CT,1116.391,
331,BDCQ.SF1BB1CT,1117.962,
332,BDCQ.SF1BB1CT,1099.874,
333,BDCQ.SF1BB1CT,1094.298,
334,BDCQ.SF1BB1CT,1085.074,
335,BDCQ.SF1BB1CT,1175.875,
336,BDCQ.SF1BB1CT,1262.575,
337,BDCQ.SF1BB1CT,1256.974,
338,BDCQ.SF1BB1CT,1230.829,
339,BDCQ.SF1BB1CT,1285.684,
340,BDCQ.SF1BB1CT,1230.028,
341,BDCQ.SF1BB1CT,1152.926,
342,BDCQ.SF1BB1CT,1183.655,
343,BDCQ.SF1BB1CT,1260.084,
344,BDCQ.SF1BB1CT,1242.986,
345,BDCQ.SF1BB1CT,,
346,BDCQ.SF1BB1CT,,
347,BDCQ.SF1BB1CT,,
348,BDCQ.SF1BB1CT,,
349,BDCQ.SF1BB1CT,,
350,BDCQ.SF1BB1CT,,
351,BDCQ.SF1BB1CT,,
352,BDCQ.SF1BB1CT,,
353,BDCQ.SF1BB1CT,,
354,BDCQ.SF1BB1CT,,
355,BDCQ.SF1BB1CT,,
356,BDCQ.SF1BB1CT,,
357,BDCQ.SF1BB1CT,,
358,BDCQ.SF1BB1CT,,
359,BDCQ.SF1BB1CT,,
360,BDCQ.SF1BBCA,1119.02,
361,BDCQ.SF1BBCA,1101.412,
362,BDCQ.SF1BBCA,1139.459,
363,BDCQ.SF1BBCA,1040.5,
364,BDCQ.SF1BBCA,1150.976,
365,BDCQ.SF1BBCA,1084.658,
366,BDCQ.SF1BBCA,1352.84,
367,BDCQ.SF1BBCA,1224.534,
368,BDCQ.SF1BBCA,1105.167,
369,BDCQ.SF1BBCA,1372.723,
370,BDCQ.SF1BBCA,1230.969,
371,BDCQ.SF1BBCA,1115.478,
372,BDCQ.SF1BBCA,1210.962,
373,BDCQ.SF1BBCA,1234.819,
374,BDCQ.SF1BBCA,1276.337,
375,BDCQ.SF1BBCA,1080.713,
376,BDCQ.SF1BBCA,847.349,
377,BDCQ.SF1BBCA,925.547,
378,BDCQ.SF1BBCA,1085.539,
379,BDCQ.SF1BBCA,1063.775,
380,BDCQ.SF1BBCA,1077.447,
381,BDCQ.SF1BBCA,1151.861,
382,BDCQ.SF1BBCA,1202.16,
383,BDCQ.SF1BBCA,1244.801,
384,BDCQ.SF1BBCA,1448.299,
385,BDCQ.SF1BBCA,1411.447,
386,BDCQ.SF1BBCA,1303.453,
387,BDCQ.SF1BBCA,1293.599,
388,BDCQ.SF1BBCA,1365.779,
389,BDCQ.SF1BBCA,1251.664,
390,BDCQ.SF1BBCS,1119.02,
391,BDCQ.SF1BBCS,1101.412,
392,BDCQ.SF1BBCS,1139.459,
393,BDCQ.SF1BBCS,1040.5,
394,BDCQ.SF1BBCS,1150.976,
395,BDCQ.SF1BBCS,1084.658,
396,BDCQ.SF1BBCS,1352.84,
397,BDCQ.SF1BBCS,1224.534,
398,BDCQ.SF1BBCS,1105.167,
399,BDCQ.SF1BBCS,1372.723,
400,BDCQ.SF1BBCS,1230.969,
401,BDCQ.SF1BBCS,1115.478,
402,BDCQ.SF1BBCS,1210.962,
403,BDCQ.SF1BBCS,1234.819,
404,BDCQ.SF1BBCS,1276.337,
405,BDCQ.SF1BBCS,1080.713,
406,BDCQ.SF1BBCS,847.349,
407,BDCQ.SF1BBCS,925.547,
408,BDCQ.SF1BBCS,1085.539,
409,BDCQ.SF1BBCS,1063.775,
410,BDCQ.SF1BBCS,1077.447,
411,BDCQ.SF1BBCS,1151.861,
412,BDCQ.SF1BBCS,1202.16,
413,BDCQ.SF1BBCS,1244.801,
414,BDCQ.SF1BBCS,1448.299,
415,BDCQ.SF1BBCS,1411.447,
416,BDCQ.SF1BBCS,1303.453,
417,BDCQ.SF1BBCS,1293.599,
418,BDCQ.SF1BBCS,1365.779,
419,BDCQ.SF1BBCS,1251.664,
420,BDCQ.SF1BBCT,1116.391,
421,BDCQ.SF1BBCT,1117.962,
422,BDCQ.SF1BBCT,1099.874,
423,BDCQ.SF1BBCT,1094.298,
424,BDCQ.SF1BBCT,1085.074,
425,BDCQ.SF1BBCT,1175.875,
426,BDCQ.SF1BBCT,1262.575,
427,BDCQ.SF1BBCT,1256.974,
428,BDCQ.SF1BBCT,1230.829,
429,BDCQ.SF1BBCT,1285.684,
430,BDCQ.SF1BBCT,1230.028,
431,BDCQ.SF1BBCT,1152.926,
432,BDCQ.SF1BBCT,1183.655,
433,BDCQ.SF1BBCT,1260.084,
434,BDCQ.SF1BBCT,1242.986,
435,BDCQ.SF1BBCT,,
436,BDCQ.SF1BBCT,,
437,BDCQ.SF1BBCT,,
438,BDCQ.SF1BBCT,,
439,BDCQ.SF1BBCT,,
440,BDCQ.SF1BBCT,,
441,BDCQ.SF1BBCT,,
442,BDCQ.SF1BBCT,,
443,BDCQ.SF1BBCT,,
444,BDCQ.SF1BBCT,,
445,BDCQ.SF1BBCT,,
446,BDCQ.SF1BBCT,,
447,BDCQ.SF1BBCT,,
448,BDCQ.SF1BBCT,,
449,BDCQ.SF1BBCT,,
450,BDCQ.SF1CC1CA,10624.465,
451,BDCQ.SF1CC1CA,9110.709,
452,BDCQ.SF1CC1CA,12084.429,
453,BDCQ.SF1CC1CA,11804.216,
454,BDCQ.SF1CC1CA,12150.005,
455,BDCQ.SF1CC1CA,10399.584,
456,BDCQ.SF1CC1CA,13705.071,
